serial,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
392,Galaxy A20s 2019 A207F 3/32GB Black (SM-A207FZKD),0,1017,4126,3599,4399,13,6.5,32,4000,Oct-19
393,Galaxy A21s 3/32GB Black (SM-A217FZKN),0,1059,5174,4598,6470,46,6.5,32,5000,Jun-20
394,Galaxy A30s 3/32GB Black (SM-A307FZKU),0,1072,4524,3999,4789,4,6.4,32,4000,Sep-19
395,Galaxy A30s 4/128GB White,0,261,6340,,,1,6.4,64,4000,Nov-19
396,Galaxy A30s 4/128GB White,0,273,6340,,,1,6.4,64,4000,Nov-19
397,Galaxy A30s 4/64GB Green (SM-A307FZGV),0,778,6098,5799,6399,8,6.4,64,4000,Sep-19
398,Galaxy A31 4/128GB Black (SM-A315FZKV),0,1115,6510,5894,7499,74,6.4,128,5000,Apr-20
399,Galaxy A31 4/64GB Black (SM-A315FZKU),0,1185,5997,5368,6999,92,6.4,64,5000,Apr-20
400,Galaxy A41 4/64GB Black (SM-A415FZKD),0,1173,6693,5699,9547,19,6.1,64,3500,May-20
401,Galaxy A50 2019 SM-A505F 4/128GB Black,0,736,6687,6299,7154,16,6.4,128,4000,Apr-19
402,Galaxy A50 2019 SM-A505F 4/64GB Blue (SM-A505FZBU),0,874,5527,5499,5555,2,6.4,64,4000,Mar-19
403,Galaxy A50 2019 SM-A505F 6/128GB Blue (SM-A505FZBQ),0,712,6933,5999,7868,2,6.4,128,4000,Mar-19
404,Galaxy A50s 2019 SM-A507FD 6/128GB Black,0,168,8243,8107,8518,8,6.4,128,4000,Nov-19
405,Galaxy A50s 2019 SM-A507FD 6/128GB Black,0,118,8243,8107,8518,8,6.4,128,4000,Nov-19
406,Galaxy A50s 2019 SM-A507FD 6/128GB Black,0,127,8243,8107,8518,8,6.4,128,4000,Nov-19
407,Galaxy A50s SM-A5070 6/128GB Prism Crush Green,0,70,7159,6930,7979,5,6.4,128,4000,Mar-20
408,Galaxy A51 2020 4/64GB Black (SM-A515FZKU),0,1192,7139,6497,7999,83,6.5,64,4000,Jan-20
409,Galaxy A51 2020 6/128GB Blue (SM-A515FZBW),0,1177,8076,7436,8999,77,6.5,128,4000,Jan-20
410,Galaxy A51 SM-A515F 2020 8/128GB Blue,0,783,8538,8230,9067,20,6.5,128,4000,Jul-20
411,Galaxy A51 SM-A515F 4/128GB Black,0,970,7135,6870,7600,9,6.5,128,4000,Mar-20
412,Galaxy A51 SM-A515F 6/128GB Metallic Silver (SM-A515FMSW),0,1039,8152,7436,8999,66,6.5,128,4000,Jul-20
